Country Name,Country Code,Capitol City,Population,GDP,Happiness Rank
Afghanistan,AFG,Kabul,37172386,19362969582,141
Albania,ALB,Tirana,2866376,15058879129,109
Algeria,DZA,Algiers,42228429,1.81E+11,53
Angola,AGO,Luanda,30809762,1.06E+11,140
Argentina,ARG,Buenos Aires,44494502,5.18E+11,24
Armenia,ARM,Yerevan,2951776,12433089919,121
Australia,AUS,Canberra,24992369,1.43E+12,10
Austria,AUT,Vienna,8847037,4.56E+11,13
Azerbaijan,AZE,Baku,9942334,46939529412,85
Bahrain,BHR,Manama,1569439,37746196809,41
Bangladesh,BGD,Dhaka,161356039,2.74E+11,110
Belarus,BLR,Minsk,9485386,59662495092,67
Belgium,BEL,Brussels,11422068,5.32E+11,17
Belize,BLZ,Belmopan,408487,3343000000,50
Benin,BEN,Porto-Novo,11485048,10358985583,143
Bhutan,BTN,Thimphu,754394,2534965163,97
Bolivia,BOL,Sucre,11353142,40287647757,58
Bosnia and Herzegovina,BIH,Sarajevo,3323929,19781776101,90
Botswana,BWA,Gaborone,2254126,18616018903,142
Brazil,BRA,Brasilia,209469333,1.87E+12,22
Bulgaria,BGR,Sofia,7024216,65132951116,105
Burkina Faso,BFA,Ouagadougou,19751535,14441763759,134
Burundi,BDI,Bujumbura,11175378,3078029929,154
Cambodia,KHM,Phnom Penh,16249798,24571753583,129
Cameroon,CMR,Yaounde,25216237,38502059858,107
Canada,CAN,Ottawa,37058856,1.71E+12,7
Central African Republic,CAF,Bangui,4666377,2379716827,155
Chad,TCD,N'Djamena,15477751,11302544205,137
Chile,CHL,Santiago,18729160,2.98E+11,20
China,CHN,Beijing,1392730000,1.36E+13,79
Colombia,COL,Bogota,49648685,3.30E+11,36
Democratic Republic of the Congo,COD,Kinshasa,84068091,47227535291,124
Republic of the Congo,COG,Brazzaville,5244363,11263682694,126
Costa Rica,CRI,San Jose,4999441,60126014829,12
Croatia,HRV,Zagreb,4089400,60805659436,77
Cyprus,CYP,Nicosia,1189265,24469841832,65
Czech Republic,CZE,Prague,10625695,2.44E+11,23
Denmark,DNK,Copenhagen,5797446,3.51E+11,2
Dominican Republic,DOM,Santo Domingo,10627165,81298585403,86
Ecuador,ECU,Quito,17084357,1.08E+11,44
Egypt,EGY,Cairo,98423595,2.51E+11,104
El Salvador,SLV,San Salvador,6420744,26056950000,45
Estonia,EST,Tallinn,1320884,30284890757,66
Ethiopia,ETH,Addis Ababa,109224559,84355462494,119
Finland,FIN,Helsinki,5518050,2.76E+11,5
France,FRA,Paris,66987244,2.78E+12,31
Gabon,GAB,Libreville,2119275,17017401832,118
Georgia,GEO,Tbilisi,3731000,16209818081,125
Germany,DEU,Berlin,82927922,4.00E+12,16
Ghana,GHA,Accra,29767108,65556464056,131
Greece,GRC,Athens,10727668,2.18E+11,87
Guatemala,GTM,Guatemala City,17247807,78460447920,29
Guinea,GIN,Conakry,12414318,10989790256,149
Haiti,HTI,Port-au-Prince,11123176,9658084644,145
